,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
190,Somalia,3,+1, ,,,3,,0.2,,"
Mar 15 "
191,MS Zaandam,2,+2, ,,,2,,,,"
Mar 26 "
192,Anguilla,2,, ,,,2,,133,,"
Mar 25 "
193,Belize,2,, ,,,2,,5,,"
Mar 22 "
194,British Virgin Islands,2,, ,,,2,,66,,"
Mar 24 "
195,Guinea-Bissau,2,, ,,,2,,1,,"
Mar 24 "
196,Saint Kitts and Nevis,2,, ,,,2,,38,,"
 Mar 24 "
197,Turks and Caicos,2,, ,,,2,,52,,"
Mar 22 "
198,Libya,1,, ,,,1,,0.1,,"
Mar 23 "
199,Papua New Guinea,1,, ,,,1,,0.1,,"
Mar 19 "
200,St. Vincent Grenadines,1,, ,,,1,,9,,"
Mar 10 "
201,Timor-Leste,1,, ,,,1,,0.8,,"
Mar 20 "
202,Total:,"596,312","+64,502","27,342","+3,274","132,676","436,294","23,670",76.5,3.5,"
 
"
